country,country_code_2_digit,country_code_3_digit,population,reported_date,confirmed cases_count,deaths_count,source
Denmark,DK,DNK,5806081,2020-09-01,285,0,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,2020-06-11,104,0,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,2020-03-06,0,0,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,2020-02-09,0,0,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,2020-03-01,0,0,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-07-14,0,0,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-02-06,0,0,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,2020-01-15,0,0,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,2020-06-12,44,1,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-01-31,0,0,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-09-05,132,2,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-04-29,39,0,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,2020-01-23,0,0,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-09-16,114,2,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-10-14,8326,55,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-10-12,19,0,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,2020-10-04,543,6,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,2020-03-28,8,0,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,2020-01-15,0,0,"Epidemic intelligence, national daily data"
Faroes,,,48865,2020-10-17,2,0,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,2020-03-30,0,2,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,2020-03-14,9,0,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,2020-02-26,0,0,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,2020-03-26,88,2,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,2020-07-01,1,0,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,2020-09-17,710,9,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,2020-07-13,5,0,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-10-04,1,0,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,2020-03-28,2,0,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,2020-01-09,0,0,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-08-12,26,1,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2020-01-07,0,0,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-10-14,4,0,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,2020-04-11,120,8,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,2020-06-17,0,0,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,2020-05-24,176,23,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-02-10,0,0,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,2020-01-09,0,0,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,2020-04-27,2324,260,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-06-15,281,8,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2020-04-19,0,0,"Epidemic intelligence, national daily data"
